date,prep,forecast
1981-01-01,66.94,
1981-02-01,151.54,
1981-03-01,137.56,
1981-04-01,328.98,
1981-05-01,395.46,
1981-06-01,273.3,
1981-07-01,184.54,
1981-08-01,206.44,
1981-09-01,181.02,
1981-10-01,329.42,
1981-11-01,200.74,
1981-12-01,112.96,
1982-01-01,115.68,
1982-02-01,129.72,
1982-03-01,162.74,
1982-04-01,333.38,
1982-05-01,403.1,
1982-06-01,136.82,
1982-07-01,129.3,
1982-08-01,145.22,
1982-09-01,272.5,
1982-10-01,303.56,
1982-11-01,155.86,
1982-12-01,122.96,
1983-01-01,43.12,
1983-02-01,77.54,
1983-03-01,129.84,
1983-04-01,350.18,
1983-05-01,327.86,
1983-06-01,176.58,
1983-07-01,230.88,
1983-08-01,188.68,
1983-09-01,175.18,
1983-10-01,269.32,
1983-11-01,194.72,
1983-12-01,197.16,
1984-01-01,81.18,
1984-02-01,199.2,
1984-03-01,112.08,
1984-04-01,222.18,
1984-05-01,275.58,
1984-06-01,290.22,
1984-07-01,266.78,
1984-08-01,262.68,
1984-09-01,341.18,
1984-10-01,329.86,
1984-11-01,262.24,
1984-12-01,133.34,
1985-01-01,32.54,
1985-02-01,63.1,
1985-03-01,110.18,
1985-04-01,204.36,
1985-05-01,287.04,
1985-06-01,183.3,
1985-07-01,152.78,
1985-08-01,231.82,
1985-09-01,298.02,
1985-10-01,292.34,
1985-11-01,149.28,
1985-12-01,70.46,
1986-01-01,80.16,
1986-02-01,124.56,
1986-03-01,128.92,
1986-04-01,370.6,
1986-05-01,295.84,
1986-06-01,236.52,
1986-07-01,173.08,
1986-08-01,230.34,
1986-09-01,232.7,
1986-10-01,349.66,
1986-11-01,149.66,
1986-12-01,84.12,
1987-01-01,71.36,
1987-02-01,81.04,
1987-03-01,152.78,
1987-04-01,256.24,
1987-05-01,281.28,
1987-06-01,192.18,
1987-07-01,265.28,
1987-08-01,209.12,
1987-09-01,270.34,
1987-10-01,300.78,
1987-11-01,185.0,
1987-12-01,90.2,
1988-01-01,57.98,
1988-02-01,107.62,
1988-03-01,50.52,
1988-04-01,327.26,
1988-05-01,262.6,
1988-06-01,273.12,
1988-07-01,301.32,
1988-08-01,346.04,
1988-09-01,303.1,
1988-10-01,313.44,
1988-11-01,352.84,
1988-12-01,158.24,
1989-01-01,114.88,
1989-02-01,132.64,
1989-03-01,138.54,
1989-04-01,181.6,
1989-05-01,253.98,
1989-06-01,233.42,
1989-07-01,220.2,
1989-08-01,223.74,
1989-09-01,438.16,
1989-10-01,318.58,
1989-11-01,211.46,
1989-12-01,76.5,
1990-01-01,105.3,
1990-02-01,106.56,
1990-03-01,159.88,
1990-04-01,209.22,
1990-05-01,261.04,
1990-06-01,180.5,
1990-07-01,224.7,
1990-08-01,174.52,
1990-09-01,223.88,
1990-10-01,392.82,
1990-11-01,224.42,
