date,temp,forecast
1981-01-01,22.1,
1981-02-01,22.2,
1981-03-01,22.44,
1981-04-01,21.74,
1981-05-01,21.42,
1981-06-01,21.42,
1981-07-01,21.52,
1981-08-01,21.62,
1981-09-01,21.66,
1981-10-01,21.42,
1981-11-01,21.6,
1981-12-01,21.88,
1982-01-01,21.58,
1982-02-01,21.88,
1982-03-01,22.1,
1982-04-01,21.42,
1982-05-01,21.56,
1982-06-01,22.1,
1982-07-01,22.26,
1982-08-01,23.1,
1982-09-01,22.28,
1982-10-01,21.28,
1982-11-01,21.58,
1982-12-01,21.76,
1983-01-01,23.06,
1983-02-01,23.52,
1983-03-01,23.38,
1983-04-01,22.22,
1983-05-01,22.2,
1983-06-01,22.26,
1983-07-01,22.26,
1983-08-01,22.3,
1983-09-01,22.16,
1983-10-01,21.7,
1983-11-01,22.06,
1983-12-01,21.36,
1984-01-01,21.34,
1984-02-01,21.5,
1984-03-01,22.14,
1984-04-01,22.02,
1984-05-01,21.64,
1984-06-01,21.28,
1984-07-01,21.0,
1984-08-01,21.68,
1984-09-01,21.0,
1984-10-01,21.16,
1984-11-01,21.1,
1984-12-01,21.68,
1985-01-01,21.94,
1985-02-01,22.46,
1985-03-01,22.58,
1985-04-01,21.98,
1985-05-01,21.7,
1985-06-01,21.88,
1985-07-01,21.7,
1985-08-01,21.6,
1985-09-01,21.58,
1985-10-01,21.38,
1985-11-01,21.58,
1985-12-01,21.86,
1986-01-01,22.06,
1986-02-01,21.74,
1986-03-01,21.94,
1986-04-01,21.88,
1986-05-01,21.66,
1986-06-01,21.38,
1986-07-01,21.94,
1986-08-01,22.54,
1986-09-01,22.34,
1986-10-01,21.62,
1986-11-01,21.72,
1986-12-01,22.46,
1987-01-01,22.1,
1987-02-01,22.96,
1987-03-01,22.94,
1987-04-01,22.58,
1987-05-01,22.38,
1987-06-01,22.16,
1987-07-01,22.2,
1987-08-01,22.24,
1987-09-01,21.94,
1987-10-01,21.78,
1987-11-01,21.86,
1987-12-01,21.96,
1988-01-01,22.66,
1988-02-01,22.7,
1988-03-01,23.6,
1988-04-01,22.2,
1988-05-01,22.0,
1988-06-01,21.36,
1988-07-01,21.16,
1988-08-01,21.38,
1988-09-01,21.56,
1988-10-01,21.64,
1988-11-01,21.56,
1988-12-01,21.24,
1989-01-01,21.62,
1989-02-01,21.7,
1989-03-01,21.56,
1989-04-01,22.1,
1989-05-01,21.6,
1989-06-01,21.28,
1989-07-01,21.5,
1989-08-01,21.78,
1989-09-01,21.4,
1989-10-01,21.46,
1989-11-01,21.8,
1989-12-01,21.64,
1990-01-01,21.56,
1990-02-01,21.88,
1990-03-01,21.9,
1990-04-01,22.0,
1990-05-01,21.86,
1990-06-01,22.16,
1990-07-01,21.72,
1990-08-01,22.44,
1990-09-01,22.2,
1990-10-01,21.66,
1990-11-01,22.04,
1990-12-01,21.98,
1991-01-01,22.68,
1991-02-01,23.2,
1991-03-01,22.24,
1991-04-01,22.18,
1991-05-01,22.16,
1991-06-01,22.2,
1991-07-01,22.0,
1991-08-01,21.94,
1991-09-01,22.4,
1991-10-01,21.78,
1991-11-01,21.48,
1991-12-01,21.92,
1992-01-01,22.44,
1992-02-01,23.44,
1992-03-01,23.94,
1992-04-01,23.22,
1992-05-01,22.54,
1992-06-01,22.6,
1992-07-01,21.82,
1992-08-01,22.36,
1992-09-01,22.44,
1992-10-01,22.3,
1992-11-01,22.0,
1992-12-01,22.34,
1993-01-01,22.26,
1993-02-01,22.82,
1993-03-01,22.44,
1993-04-01,22.14,
1993-05-01,22.2,
1993-06-01,22.58,
1993-07-01,22.48,
1993-08-01,22.74,
1993-09-01,21.98,
1993-10-01,21.98,
1993-11-01,21.54,
1993-12-01,22.16,
1994-01-01,22.12,
1994-02-01,22.06,
1994-03-01,22.18,
1994-04-01,22.06,
1994-05-01,22.08,
1994-06-01,22.16,
1994-07-01,21.9,
1994-08-01,22.28,
1994-09-01,22.8,
1994-10-01,22.28,
1994-11-01,22.1,
