,temp,forecast
1981-01-01,23.45,
1981-02-01,23.2,
1981-03-01,23.32,
1981-04-01,22.78,
1981-05-01,22.38,
1981-06-01,22.68,
1981-07-01,22.88,
1981-08-01,23.1,
1981-09-01,23.4,
1981-10-01,22.92,
1981-11-01,22.62,
1981-12-01,23.05,
1982-01-01,23.02,
1982-02-01,23.08,
1982-03-01,23.22,
1982-04-01,22.92,
1982-05-01,22.95,
1982-06-01,23.82,
1982-07-01,23.48,
1982-08-01,24.4,
1982-09-01,23.72,
1982-10-01,22.75,
1982-11-01,23.18,
1982-12-01,23.12,
1983-01-01,24.58,
1983-02-01,25.0,
1983-03-01,24.75,
1983-04-01,23.65,
1983-05-01,24.28,
1983-06-01,24.15,
1983-07-01,24.25,
1983-08-01,24.5,
1983-09-01,24.05,
1983-10-01,23.3,
1983-11-01,23.22,
1983-12-01,22.48,
1984-01-01,22.02,
1984-02-01,22.7,
1984-03-01,23.48,
1984-04-01,22.85,
1984-05-01,22.68,
1984-06-01,22.6,
1984-07-01,22.45,
1984-08-01,23.18,
1984-09-01,22.62,
1984-10-01,22.32,
1984-11-01,22.0,
1984-12-01,23.1,
1985-01-01,22.5,
1985-02-01,23.35,
1985-03-01,23.6,
1985-04-01,23.28,
1985-05-01,23.02,
1985-06-01,23.18,
1985-07-01,22.95,
1985-08-01,23.12,
1985-09-01,23.45,
1985-10-01,23.5,
1985-11-01,22.5,
1985-12-01,22.78,
1986-01-01,22.95,
1986-02-01,22.38,
1986-03-01,22.6,
1986-04-01,23.2,
1986-05-01,23.52,
1986-06-01,23.22,
1986-07-01,23.78,
1986-08-01,24.12,
1986-09-01,23.98,
1986-10-01,22.65,
1986-11-01,23.0,
1986-12-01,23.55,
1987-01-01,23.92,
1987-02-01,24.4,
1987-03-01,24.2,
1987-04-01,24.22,
1987-05-01,23.78,
1987-06-01,24.25,
1987-07-01,24.1,
1987-08-01,24.05,
1987-09-01,24.1,
1987-10-01,23.35,
1987-11-01,23.58,
1987-12-01,23.83,
1988-01-01,23.75,
1988-02-01,23.78,
1988-03-01,24.2,
1988-04-01,23.2,
1988-05-01,23.48,
1988-06-01,22.98,
1988-07-01,23.15,
1988-08-01,23.18,
1988-09-01,23.1,
1988-10-01,22.95,
1988-11-01,22.62,
1988-12-01,22.5,
1989-01-01,22.75,
1989-02-01,22.7,
1989-03-01,22.68,
1989-04-01,23.35,
1989-05-01,22.8,
1989-06-01,22.72,
1989-07-01,23.08,
1989-08-01,23.35,
1989-09-01,23.0,
1989-10-01,22.65,
1989-11-01,22.95,
1989-12-01,22.58,
1990-01-01,22.98,
1990-02-01,22.65,
1990-03-01,23.48,
1990-04-01,23.25,
1990-05-01,23.12,
1990-06-01,23.38,
1990-07-01,23.22,
1990-08-01,23.85,
1990-09-01,23.9,
1990-10-01,22.32,
1990-11-01,22.95,
1990-12-01,22.52,
1991-01-01,23.5,
1991-02-01,24.15,
1991-03-01,23.38,
1991-04-01,23.42,
1991-05-01,23.25,
1991-06-01,23.62,
1991-07-01,23.4,
1991-08-01,23.3,
1991-09-01,23.55,
1991-10-01,23.05,
1991-11-01,22.38,
1991-12-01,22.9,
1992-01-01,23.58,
1992-02-01,23.7,
1992-03-01,24.25,
1992-04-01,23.75,
